"Comparison","Z","P.unadj","P.adj"
"High income - Low income",41.5948686459559,0,0
"High income - Lower middle income",45.6850649448326,0,0
"Low income - Lower middle income",-4.67261018293359,2.9739588175031e-06,1.78437529050186e-05
"High income - Upper middle income",30.6585509628865,2.0327540453468e-206,1.21965242720808e-205
"Low income - Upper middle income",-16.4645391825131,6.59630490676043e-61,3.95778294405626e-60
"Lower middle income - Upper middle income",-14.4421045660487,2.81125134035985e-47,1.68675080421591e-46
