"Comparison","Z","P.unadj","P.adj"
"High income - Low income",14.1039270620601,3.59211013828633e-45,2.1552660829718e-44
"High income - Lower middle income",14.2497086579411,4.50155306362196e-46,2.70093183817317e-45
"Low income - Lower middle income",-2.71202281623438,0.00668739895731989,0.0401243937439193
"High income - Upper middle income",4.30883612948087,1.64115907632796e-05,9.84695445796777e-05
"Low income - Upper middle income",-10.4896566464434,9.637798293357e-26,5.7826789760142e-25
"Lower middle income - Upper middle income",-9.66318390702923,4.3221772188908e-22,2.59330633133448e-21
