"gruppo","categoria","n","W","p_value"
"who_region","Eastern Mediterranean",882,0.771,2.51e-33
"who_region","European",2058,0.771,6.17e-47
"who_region","African",1932,0.985,4.24e-13
"who_region","Americas",1470,0.967,8.96e-18
"who_region","Western Pacific",1050,0.961,3.08e-16
"who_region","South-East Asia",462,0.959,4.83e-10
